claim_id,qkey,value,unit,category,stance,file,line,quoted_context
R1-538,null_v35k2perm_k5_std,0.0,std at K=5,deterministic,asserts-own,F3,35,"""The standard deviation is 0.0 from n=2 identical values."""
R1-539,null_v35k2perm_k5_z,inf,z_score at K=5 (string),deterministic,disputes,F3,35,"""The z_score is reported as 'inf' (a string, not a float -- line 104). This is a division-by-zero artifact"""
R1-540,misc_v35k_null_hypothetical_perms,10 or 100,permutations (hypothetical),method-parameter,asserts-own,F3,35,"""With 10 or 100 permutations, the K=5 null count might range from 0 to 5"""
R1-541,misc_v35k_null_hypothetical_k5_range,0 to 5,null count range at K=5 (hypothetical),deterministic,asserts-own,F3,35,"""the K=5 null count might range from 0 to 5, producing a finite and meaningful Z-score"""
R1-542,run_v35k_null_permutations,n=2,permutations (identical values),method-parameter,asserts-own,F3,35,"""The standard deviation is 0.0 from n=2 identical values."""
R1-543,run_v35k_null_min_count,"1,090",min_count (35K null model),method-parameter,asserts-own,F3,37,"""The 35K null uses min_count=1,090 (approximately 0.001% of 109M transactions, line 6-7)"""
R1-544,run_v35k_null_support_pct,0.001%,support (35K null),method-parameter,asserts-own,F3,37,"""min_count=1,090 (approximately 0.001% of 109M transactions"""
R1-545,run_v35k_n_transactions,109M,transactions (35K dataset),deterministic,asserts-own,F3,37,"""(approximately 0.001% of 109M transactions, line 6-7)"""
R1-546,run_v35k_min_count,"1,093",min_count (35K mining campaign),method-parameter,asserts-own,F3,37,"""The 35K mining campaign uses min_count=1,093 (0.001%, line 9 of the direct_vs_son file)"""
R1-547,run_v35k_support_pct,0.001%,support (35K mining),method-parameter,asserts-own,F3,37,"""The 35K mining campaign uses min_count=1,093 (0.001%"""
R1-548,run_opus_min_count,8,min_count (paper Opus threshold),method-parameter,quotes-paper,F3,37,"""neither matches the paper's Opus threshold (min_count=8)"""
R1-549,null_permutations,5,perms (1K null),method-parameter,quotes-paper,F3,39,"""In the 1K-feature null model (5 perms), K=2 was depleted (Z=-987) and K=3 was depleted (Z=-143)"""
R1-550,null_k2_z,-987,Z at K=2 (1K),deterministic,quotes-paper,F3,39,"""K=2 was depleted (Z=-987) and K=3 was depleted (Z=-143)"""
R1-551,null_k3_z,-143,Z at K=3 (1K),deterministic,quotes-paper,F3,39,"""K=2 was depleted (Z=-987) and K=3 was depleted (Z=-143)"""
R1-552,run_v35k_null_permutations,2,perms (35K null),method-parameter,asserts-own,F3,39,"""In the 35K-feature null model (2 perms), K=2 is again depleted (Z=-102)"""
R1-553,null_v35k2perm_k2_z,-102,Z at K=2 (35K),deterministic,asserts-own,F3,39,"""K=2 is again depleted (Z=-102) but K=3 is now massively enriched (Z=+723)"""
R1-554,null_v35k2perm_k3_z,+723,Z at K=3 (35K),deterministic,asserts-own,F3,39,"""K=3 is now massively enriched (Z=+723)"""
R1-555,run_v35k_null_perms_requested,100+,"permutations (requested, 35K)",method-parameter,requests,F3,43,"""Run 100+ permutations at min_count=1,093 on the 35K dataset."""
R1-556,run_v35k_min_count,"1,093",min_count (requested run),method-parameter,requests,F3,43,"""Run 100+ permutations at min_count=1,093 on the 35K dataset."""
R1-557,run_v35k_null_per_perm_time_s,~655,"s per permutation (35K, 4xH200)",hardware-dependent,asserts-own,F3,43,"""At ~655s per permutation on 4xH200, 100 permutations = ~18 hours, 200 = ~36 hours."""
R1-558,run_v35k_n_gpus,4xH200,GPUs,hardware-dependent,asserts-own,F3,43,"""At ~655s per permutation on 4xH200"""
R1-559,run_v35k_null_perms_requested,100,permutations,method-parameter,asserts-own,F3,43,"""100 permutations = ~18 hours, 200 = ~36 hours"""
R1-560,cost_null_100perm_v35k_hours,~18,"hours (100 perms, 35K)",hardware-dependent,asserts-own,F3,43,"""100 permutations = ~18 hours, 200 = ~36 hours"""
R1-561,run_v35k_null_perms_requested,200,permutations,method-parameter,asserts-own,F3,43,"""100 permutations = ~18 hours, 200 = ~36 hours"""
R1-562,cost_null_200perm_v35k_hours,~36,"hours (200 perms, 35K)",hardware-dependent,asserts-own,F3,43,"""100 permutations = ~18 hours, 200 = ~36 hours"""
R1-563,null_permutations,5,perms (1K null),method-parameter,quotes-paper,F3,43,"""The 1K-feature null model (5 perms, ~86s/perm) should also be expanded to 100+ perms."""
R1-564,null_per_perm_time_s,~86,s per permutation (1K),hardware-dependent,asserts-own,F3,43,"""The 1K-feature null model (5 perms, ~86s/perm) should also be expanded to 100+ perms."""
R1-565,null_perms_for_p001,100+,"perms (requested, 1K)",method-parameter,requests,F3,43,"""should also be expanded to 100+ perms"""
R1-566,meta_review_f3_severity_major2,7/10,severity (M2),external-fact,asserts-own,F3,45,"""M2. GO true-path inflation: partially addressed by the K-drop but still unquantified [Severity: 7/10]"""
R1-567,run_opus_kmax,22,K_max (1K features),deterministic,quotes-paper,F3,47,"""The K_max drop from 22 (1K features) to 17 (35K features) is striking."""
R1-568,run_v35k_kmax,17,K_max (35K features),deterministic,asserts-own,F3,47,"""The K_max drop from 22 (1K features) to 17 (35K features) is striking."""
R1-569,misc_hypothetical_redundant_pairs_1k_pct,30%,"redundant GO pairs (hypothetical, 1K)",deterministic,asserts-own,F3,51,"""If the 1K vocabulary has 30% redundant pairs and the 35K has 5%, this explains the K-drop"""
R1-570,misc_hypothetical_redundant_pairs_v35k_pct,5%,"redundant GO pairs (hypothetical, 35K)",deterministic,asserts-own,F3,51,"""If the 1K vocabulary has 30% redundant pairs and the 35K has 5%"""
R1-571,run_opus_kmax,22,K (itemset with GO inflation),deterministic,quotes-paper,F3,53,"""The K=22 itemset from the 1K-feature analysis contains verified GO hierarchy inflation"""
R1-572,k22_independent_features,19-20,corrected independent K,deterministic,disputes,F3,53,"""The corrected independent K is approximately 19-20."""
R1-573,run_v35k_kmax,17,K (35K itemset needing scrutiny),deterministic,asserts-own,F3,55,"""The 35K K=17 itemset needs the same scrutiny."""
R1-574,run_v35k_kmax,17,co-occurring features (requested listing),deterministic,requests,F3,55,"""What are the 17 co-occurring features in the K=17 pattern?"""
R1-575,meta_review_f3_severity_major3,5/10,"severity (M3, current)",external-fact,asserts-own,F3,57,"""M3. SON comparison ... [Severity: 5/10, improved from 8/10]"""
R1-576,meta_review_f3_severity_major3_v1,8/10,"severity (M3, v1)",external-fact,asserts-own,F3,57,"""[Severity: 5/10, improved from 8/10]"""
R1-577,run_v35k_son_chunk_size,40M,"chunk size (SON, transactions)",method-parameter,asserts-own,F3,61,"""'40M chunk x 35K features = 175 GB bitvec exceeds 143 GB H200 VRAM'"""
R1-578,vocab_v35k_items,35K,features (bitvec arithmetic),deterministic,asserts-own,F3,61,"""'40M chunk x 35K features = 175 GB bitvec exceeds 143 GB H200 VRAM'"""
R1-579,mem_v35k_son_bitvec_gb,175,GB (SON bitvec),deterministic,asserts-own,F3,61,"""'40M chunk x 35K features = 175 GB bitvec exceeds 143 GB H200 VRAM'"""
R1-580,hw_h200_vram_gb,143,GB (H200 VRAM),hardware-dependent,asserts-own,F3,61,"""'40M chunk x 35K features = 175 GB bitvec exceeds 143 GB H200 VRAM' (son_status: FAILED_OOM_HUNG)"""
R1-581,hw_h200_vram_gb,143,GB (H200 VRAM),hardware-dependent,asserts-own,F3,63,"""the highest-end GPU available (NVIDIA H200 at 143 GB)"""
R1-582,mem_v35k_son_max_chunk_size,<33M,chunk_size required to fit,deterministic,asserts-own,F3,63,"""you would need chunk_size < 33M, which at 109M transactions means 4+ chunks"""
R1-583,run_v35k_n_transactions,109M,transactions,deterministic,asserts-own,F3,63,"""which at 109M transactions means 4+ chunks with proportionally worse miss rates"""
R1-584,mem_v35k_son_min_chunks,4+,chunks,deterministic,asserts-own,F3,63,"""at 109M transactions means 4+ chunks with proportionally worse miss rates"""
R1-585,mem_v35k_son_feasible_chunk_size,20M,chunk_size (feasible SON),method-parameter,asserts-own,F3,67,"""chunk_size=20M x 35K features = ~87 GB, fitting on an H200. This would create 6 chunks"""
R1-586,mem_v35k_son_bitvec_20m_gb,~87,GB (bitvec at 20M chunk),deterministic,asserts-own,F3,67,"""chunk_size=20M x 35K features = ~87 GB, fitting on an H200"""
R1-587,mem_v35k_son_chunks_at_20m,6,chunks,deterministic,asserts-own,F3,67,"""This would create 6 chunks with terrible miss rates"""
R1-588,son_miss_rate_pct,95.2%,SON miss rate (1K),deterministic,quotes-paper,F3,69,"""The SON infeasibility at 35K is a STRONGER argument than the 1K 95.2% miss rate."""
R1-589,run_v35k_n_runs,3 (Three),Direct GPU runs,method-parameter,asserts-own,F3,73,"""Three Direct GPU runs with mean=606,292, std=28, CV=0.0046% demonstrates excellent reproducibility"""
R1-590,run_v35k_itemsets,"606,292",mean itemsets,deterministic,asserts-own,F3,73,"""Three Direct GPU runs with mean=606,292, std=28, CV=0.0046%"""
R1-591,run_v35k_itemsets_std,28,std itemsets,deterministic,asserts-own,F3,73,"""Three Direct GPU runs with mean=606,292, std=28, CV=0.0046%"""
R1-592,run_v35k_itemsets_cv_pct,0.0046%,CV of itemset count,deterministic,asserts-own,F3,73,"""Three Direct GPU runs with mean=606,292, std=28, CV=0.0046%"""
R1-593,run_v35k_kmax_per_run,"17, 16, 17",K_max across runs,deterministic,asserts-own,F3,73,"""The slight variation in K_max (17, 16, 17 across runs) at K=17 (with 2, 0, 1 itemsets respectively)"""
R1-594,kdist_v35k_k17_count_per_run,"2, 0, 1",itemsets at K=17 across runs,deterministic,asserts-own,F3,73,"""at K=17 (with 2, 0, 1 itemsets respectively) suggests the boundary itemsets are at the noise floor"""
R1-595,meta_review_f3_severity_major4,8/10,severity (M4),external-fact,asserts-own,F3,75,"""M4. The K-max drop (K=22 -> K=17) demands explanation [Severity: 8/10]"""
R1-596,run_v35k_vs_opus_kmax_change,22 -> 17,K-max drop,deterministic,asserts-own,F3,75,"""M4. The K-max drop (K=22 -> K=17) demands explanation"""
R1-597,vocab_items_frequent,"1,002",features (1K),deterministic,quotes-paper,F3,77,"""When expanding from 1,002 to 34,920 features:"""
R1-598,vocab_v35k_items,"34,920",features (35K),deterministic,asserts-own,F3,77,"""When expanding from 1,002 to 34,920 features:"""
R1-599,run_opus_kmax,22,K_max (1K),deterministic,quotes-paper,F3,78,"""K_max dropped from 22 to 17"""
R1-600,run_v35k_kmax,17,K_max (35K),deterministic,asserts-own,F3,78,"""K_max dropped from 22 to 17"""
R1-601,kdist_opus_peak_k,9,"K (peak, 1K)",deterministic,quotes-paper,F3,79,"""The K-distribution peak shifted from K=9 (1K) to K=7 (35K)"""
R1-602,kdist_v35k_peak_k,7,"K (peak, 35K)",deterministic,asserts-own,F3,79,"""The K-distribution peak shifted from K=9 (1K) to K=7 (35K)"""
R1-603,run_opus_itemsets,26.8M,"itemsets (1K, min_count=8)",deterministic,quotes-paper,F3,80,"""Total itemsets dropped from 26.8M (at min_count=8) to 606K (at min_count=1,093)"""
R1-604,run_opus_min_count,8,min_count (1K Opus),method-parameter,quotes-paper,F3,80,"""Total itemsets dropped from 26.8M (at min_count=8) to 606K (at min_count=1,093)"""
R1-605,run_v35k_itemsets,606K,"itemsets (35K, min_count=1,093)",deterministic,asserts-own,F3,80,"""Total itemsets dropped from 26.8M (at min_count=8) to 606K (at min_count=1,093)"""
R1-606,run_v35k_min_count,"1,093",min_count (35K),method-parameter,asserts-own,F3,80,"""to 606K (at min_count=1,093)"""
R1-607,run_v35k_min_count,"1,093 vs 8",min_count (support threshold difference),method-parameter,asserts-own,F3,82,"""The third point is explained by the higher support threshold (1,093 vs 8)"""
R1-608,run_v35k_min_count,"1,093",min_count (35K experiment),method-parameter,asserts-own,F3,84,"""The 35K experiment uses min_count=1,093 while the 1K Opus run uses min_count=8."""
R1-609,run_opus_min_count,8,min_count (1K Opus run),method-parameter,quotes-paper,F3,84,"""The 35K experiment uses min_count=1,093 while the 1K Opus run uses min_count=8."""
R1-610,run_opus_kmax,22,K (pattern supported by 8 proteins),deterministic,quotes-paper,F3,84,"""The K=22 pattern in the 1K run was supported by exactly 8 proteins -- it would be invisible at min_count=1,093"""
R1-611,k22_support,8,proteins supporting K=22,deterministic,quotes-paper,F3,84,"""The K=22 pattern in the 1K run was supported by exactly 8 proteins"""
R1-612,run_v35k_n_transactions,109M,transactions (assumed same),deterministic,asserts-own,F3,86,"""each feature is present in fewer proteins on average (assuming the same 109M transactions)"""
R1-613,dataset_go_cytoplasm_support,millions,proteins carrying 'cytoplasm' term,deterministic,asserts-own,F3,88,"""removes a term that appeared in millions of proteins, reducing deep co-occurrence potential"""
R1-614,run_v35k_n_gpus,4,GPUs (row-splitting),hardware-dependent,asserts-own,F3,90,"""The 35K runs use 4-GPU row-splitting with local_min_count=274 (line 2 of power_test_v1_full.log)"""
R1-615,run_v35k_local_min_count,274,local_min_count (power test),method-parameter,asserts-own,F3,90,"""4-GPU row-splitting with local_min_count=274 (line 2 of power_test_v1_full.log)"""
R1-616,kdist_v35k_wave3_k2_locally_frequent,"14,800",locally frequent K=2 pairs (union across GPUs),deterministic,asserts-own,F3,90,"""'K=2: 14,800 locally frequent (union across GPUs), 8,554 frequent'"""
R1-617,kdist_v35k_wave3_k2_count,"8,554",globally frequent K=2 pairs,deterministic,asserts-own,F3,90,"""'K=2: 14,800 locally frequent (union across GPUs), 8,554 frequent'"""
R1-618,run_v35k_wave3_k2_local_prune_pct,42%,locally-frequent K=2 pairs failing global recount,deterministic,asserts-own,F3,90,"""shows that 42% of locally-frequent K=2 pairs fail the global recount"""
R1-619,run_opus_min_count,8,min_count (controlled experiment requested),method-parameter,requests,F3,92,"""A controlled experiment would run the 35K features at min_count=8 on a single GPU (if VRAM allows)"""
R1-620,hw_gpu_count,1 (single),GPU (controlled experiment),hardware-dependent,requests,F3,92,"""run the 35K features at min_count=8 on a single GPU (if VRAM allows)"""
R1-621,meta_review_f3_severity_major5,7/10,severity (M5),external-fact,asserts-own,F3,94,"""M5. 8 vs 3 K=22 proteins -- still unresolved [Severity: 7/10]"""
R1-622,k22_script_identified_proteins,8 vs 3,K=22 proteins (support count vs identified),deterministic,disputes,F3,94,"""M5. 8 vs 3 K=22 proteins -- still unresolved"""
R1-623,k22_support,8,proteins (mining result support count),deterministic,quotes-paper,F3,96,"""The discrepancy between 8 proteins (mining result support count) and 3 proteins identified (analysis script fallback heuristic)"""
R1-624,k22_script_identified_proteins,3,proteins identified (analysis script fallback heuristic),deterministic,disputes,F3,96,"""and 3 proteins identified (analysis script fallback heuristic) remains unresolved"""
R1-625,k22_support,8,UniProt accessions (must be named),deterministic,requests,F3,96,"""All 8 UniProt accessions must be named and verified."""
R1-626,meta_review_f3_severity_major6,6/10,severity (M6),external-fact,asserts-own,F3,98,"""M6. Wave 3 partial results hint at massive scale but are incomplete [Severity: 6/10]"""
R1-627,run_v35k_wave3_support_pct,0.1%,support (wave 3),method-parameter,asserts-own,F3,100,"""mining at 0.1% support (min_count=109,225) reaching K=10 with the following per-level counts"""
R1-628,run_v35k_wave3_min_count,"109,225","min_count (wave 3, 0.1%)",method-parameter,asserts-own,F3,100,"""mining at 0.1% support (min_count=109,225) reaching K=10"""
R1-629,run_v35k_wave3_kmax,10,K reached (wave 3),deterministic,asserts-own,F3,100,"""mining at 0.1% support (min_count=109,225) reaching K=10"""
R1-630,kdist_v35k_wave3_k1_count,"1,164",itemsets at K=1 (wave 3),deterministic,asserts-own,F3,104,"table row ""1 / 1,164 / 0.3s"""
R1-631,run_v35k_wave3_k1_cum_time_s,0.3,s cumulative at K=1 (wave 3),hardware-dependent,asserts-own,F3,104,"table row ""1 / 1,164 / 0.3s"""
R1-632,kdist_v35k_wave3_k2_count,"8,554",itemsets at K=2 (wave 3),deterministic,asserts-own,F3,105,"table row ""2 / 8,554 / 1.2s"""
R1-633,run_v35k_wave3_k2_cum_time_s,1.2,s cumulative at K=2 (wave 3),hardware-dependent,asserts-own,F3,105,"table row ""2 / 8,554 / 1.2s"""
R1-634,kdist_v35k_wave3_k3_count,"28,804",itemsets at K=3 (wave 3),deterministic,asserts-own,F3,106,"table row ""3 / 28,804 / 2.0s"""
R1-635,run_v35k_wave3_k3_cum_time_s,2.0,s cumulative at K=3 (wave 3),hardware-dependent,asserts-own,F3,106,"table row ""3 / 28,804 / 2.0s"""
R1-636,kdist_v35k_wave3_k4_count,"88,561",itemsets at K=4 (wave 3),deterministic,asserts-own,F3,107,"table row ""4 / 88,561 / 5.3s"""
R1-637,run_v35k_wave3_k4_cum_time_s,5.3,s cumulative at K=4 (wave 3),hardware-dependent,asserts-own,F3,107,"table row ""4 / 88,561 / 5.3s"""
R1-638,kdist_v35k_wave3_k5_count,"280,784",itemsets at K=5 (wave 3),deterministic,asserts-own,F3,108,"table row ""5 / 280,784 / 17.5s"""
R1-639,run_v35k_wave3_k5_cum_time_s,17.5,s cumulative at K=5 (wave 3),hardware-dependent,asserts-own,F3,108,"table row ""5 / 280,784 / 17.5s"""
R1-640,kdist_v35k_wave3_k6_count,"835,466",itemsets at K=6 (wave 3),deterministic,asserts-own,F3,109,"table row ""6 / 835,466 / 52.1s"""
R1-641,run_v35k_wave3_k6_cum_time_s,52.1,s cumulative at K=6 (wave 3),hardware-dependent,asserts-own,F3,109,"table row ""6 / 835,466 / 52.1s"""
R1-642,kdist_v35k_wave3_k7_count,"2,207,022",itemsets at K=7 (wave 3),deterministic,asserts-own,F3,110,"table row ""7 / 2,207,022 / 145.3s"""
R1-643,run_v35k_wave3_k7_cum_time_s,145.3,s cumulative at K=7 (wave 3),hardware-dependent,asserts-own,F3,110,"table row ""7 / 2,207,022 / 145.3s"""
R1-644,kdist_v35k_wave3_k8_count,"5,063,845",itemsets at K=8 (wave 3),deterministic,asserts-own,F3,111,"table row ""8 / 5,063,845 / 348.5s"""
R1-645,run_v35k_wave3_k8_cum_time_s,348.5,s cumulative at K=8 (wave 3),hardware-dependent,asserts-own,F3,111,"table row ""8 / 5,063,845 / 348.5s"""
R1-646,kdist_v35k_wave3_k9_count,"10,041,611",itemsets at K=9 (wave 3),deterministic,asserts-own,F3,112,"table row ""9 / 10,041,611 / 743.4s"""
R1-647,run_v35k_wave3_k9_cum_time_s,743.4,s cumulative at K=9 (wave 3),hardware-dependent,asserts-own,F3,112,"table row ""9 / 10,041,611 / 743.4s"""
R1-648,kdist_v35k_wave3_k10_locally_frequent,12.5M,locally frequent candidates at K=10 (wave 3),deterministic,asserts-own,F3,113,"table row ""10 / ??? (12.5M locally frequent) / >743s, still running"""
R1-649,run_v35k_wave3_k10_cum_time_s,>743,s at K=10 (still running),hardware-dependent,asserts-own,F3,113,"table row ""10 / ??? (12.5M locally frequent) / >743s, still running"""
R1-650,run_v35k_wave3_vs_v35k_itemsets_ratio,30x,more itemsets per K-level (0.1% vs 0.001% run),deterministic,asserts-own,F3,115,"""This is 30x more itemsets per K-level than the 0.001% run (e.g., K=7: 2.2M vs 64K)"""
R1-651,run_v35k_support_pct,0.001%,support (comparison run),method-parameter,asserts-own,F3,115,"""30x more itemsets per K-level than the 0.001% run"""
R1-652,kdist_v35k_wave3_k7_count,2.2M,itemsets at K=7 (0.1% run),deterministic,asserts-own,F3,115,"""(e.g., K=7: 2.2M vs 64K)"""
R1-653,kdist_v35k_k7_count,64K,itemsets at K=7 (0.001% run),deterministic,asserts-own,F3,115,"""(e.g., K=7: 2.2M vs 64K)"""
R1-654,run_v35k_wave3_kmax,10,K (distribution still growing),deterministic,asserts-own,F3,115,"""the distribution is still growing at K=10"""
R1-655,run_v35k_wave3_itemsets_projected,hundreds of millions,itemsets (projected if wave 3 completes),deterministic,asserts-own,F3,117,"""If this run completes, it could produce hundreds of millions of itemsets at 35K features."""
R1-656,run_v35k_wave3_k9_cum_time_s,12+,minutes at K=9,hardware-dependent,asserts-own,F3,117,"""the runtime (already 12+ minutes at K=9) suggests the full campaign may take hours per threshold"""
R1-657,run_v35k_min_count,"1,093",min_count (power test),method-parameter,asserts-own,F3,119,"""show mining at min_count=1,093 with K=2 taking 586s alone (vs 1.2s at min_count=109,225)"""
R1-658,run_v35k_power_k2_time_s,586,"s (K=2 level at min_count=1,093)",hardware-dependent,asserts-own,F3,119,"""K=2 taking 586s alone (vs 1.2s at min_count=109,225)"""
R1-659,run_v35k_wave3_k2_cum_time_s,1.2,"s (K=2 level at min_count=109,225)",hardware-dependent,asserts-own,F3,119,"""K=2 taking 586s alone (vs 1.2s at min_count=109,225)"""
R1-660,run_v35k_wave3_min_count,"109,225",min_count,method-parameter,asserts-own,F3,119,"""(vs 1.2s at min_count=109,225)"""
R1-661,kdist_v35k_power_k2_count,902K,"frequent pairs (min_count=1,093)",deterministic,asserts-own,F3,119,"""the lower threshold admits 902K frequent pairs vs 8.5K, creating a vastly larger candidate space at K>=3"""
R1-662,kdist_v35k_wave3_k2_count,8.5K,"frequent pairs (min_count=109,225)",deterministic,asserts-own,F3,119,"""admits 902K frequent pairs vs 8.5K"""
R1-663,misc_v35k_power_candidate_space_k,>=3,K (candidate space),deterministic,asserts-own,F3,119,"""creating a vastly larger candidate space at K>=3"""
R1-664,run_v35k_power_kmax,4,K reached (power test),deterministic,asserts-own,F3,119,"""The power test reached K=4 with 17.4M itemsets before apparently stalling."""
R1-665,kdist_v35k_power_k4_count,17.4M,itemsets at K=4 (power test),deterministic,asserts-own,F3,119,"""The power test reached K=4 with 17.4M itemsets before apparently stalling."""
R1-666,run_v35k_itemsets,606K,itemsets at 0.001% support,deterministic,asserts-own,F3,121,"""Presenting 606K itemsets at 0.001% support when the 0.1% run alone produces 10M+ itemsets at K=9 undersells"""
R1-667,run_v35k_support_pct,0.001%,support,method-parameter,asserts-own,F3,121,"""Presenting 606K itemsets at 0.001% support"""
R1-668,run_v35k_wave3_support_pct,0.1%,support,method-parameter,asserts-own,F3,121,"""when the 0.1% run alone produces 10M+ itemsets at K=9"""
R1-669,kdist_v35k_wave3_k9_count,10M+,itemsets at K=9 (0.1% run),deterministic,asserts-own,F3,121,"""the 0.1% run alone produces 10M+ itemsets at K=9"""
R1-670,run_v35k_wave3_last_complete_k,9,K,deterministic,asserts-own,F3,121,"""the 0.1% run alone produces 10M+ itemsets at K=9"""
R1-671,run_v35k_null_permutations,2,permutations (35K),method-parameter,asserts-own,F3,129,"""The 35K null model uses 2 permutations instead of the 1K model's 5."""
R1-672,null_permutations,5,permutations (1K),method-parameter,quotes-paper,F3,129,"""The 35K null model uses 2 permutations instead of the 1K model's 5."""
R1-673,run_v35k_vs_opus_kmax_change,22 -> 17,K drop,deterministic,asserts-own,F3,133,"""The K=22 -> K=17 drop suggests less GO inflation at 35K features, but this is inferential"""
R1-674,run_opus_itemsets,26.8M,itemsets (provenance gap),deterministic,quotes-paper,F3,139,"""M4-v1. 26.8M itemsets data provenance gap [RETAINED, unchanged]"""
R1-675,run_opus_time_min,7.3,minute claim (mining vs total pipeline),hardware-dependent,disputes,F3,141,"""The 7.3-minute claim (mining time vs total pipeline time) is still ambiguous."""
R1-676,k22_script_identified_proteins,8 vs 3,"K=22 proteins (heading, retained from v1)",deterministic,disputes,F3,143,"""M5-v1. 8 vs 3 K=22 proteins [RETAINED as M5 above]"""
R1-677,run_opus_kmax,22,K (heading),deterministic,quotes-paper,F3,143,"""M5-v1. 8 vs 3 K=22 proteins [RETAINED as M5 above]"""
R1-678,meta_review_f3_severity_minor1,3/10,severity (m1),external-fact,asserts-own,F3,151,"""m1. Triplicate reproducibility reveals boundary instability [Severity: 3/10]"""
R1-679,run_v35k_run1_itemsets,"606,319",itemsets (run 1),deterministic,asserts-own,F3,153,"""minor variation in total itemsets (606,319 / 606,293 / 606,263) and K_max (17 / 16 / 17)"""
R1-680,run_v35k_run2_itemsets,"606,293",itemsets (run 2),deterministic,asserts-own,F3,153,"""minor variation in total itemsets (606,319 / 606,293 / 606,263)"""
R1-681,run_v35k_run3_itemsets,"606,263",itemsets (run 3),deterministic,asserts-own,F3,153,"""minor variation in total itemsets (606,319 / 606,293 / 606,263)"""
R1-682,run_v35k_kmax_per_run,17 / 16 / 17,K_max per run,deterministic,asserts-own,F3,153,"""and K_max (17 / 16 / 17)"""
R1-683,kdist_v35k_k17_count_per_run,"2, 0, 1",itemsets at K=17 per run,deterministic,asserts-own,F3,153,"""The K=17 level had 2, 0, and 1 itemsets across runs."""
R1-684,kdist_v35k_k16_count,152,itemsets at K=16 (stable across runs),deterministic,asserts-own,F3,153,"""The K=16 level is stable at 152 across all runs."""
R1-685,run_v35k_kmax,16-17,K_max (recommended reporting),deterministic,requests,F3,155,"""Report K_max as '16-17' with a note that K=17 patterns are at the support boundary."""
R1-686,meta_review_f3_severity_minor2,5/10,severity (m2),external-fact,asserts-own,F3,157,"""m2. The 35K feature vocabulary composition is undocumented [Severity: 5/10]"""
R1-687,vocab_v1_pfam,247,Pfam items (Table 1),deterministic,quotes-paper,F3,159,"""The paper documents the 1K feature vocabulary in Table 1 (247 Pfam, 302 GO:MF, 289 GO:BP, 161 GO:CC, 3 pLDDT)"""
R1-688,vocab_v1_go_mf,302,GO:MF items (Table 1),deterministic,quotes-paper,F3,159,"""Table 1 (247 Pfam, 302 GO:MF, 289 GO:BP, 161 GO:CC, 3 pLDDT)"""
R1-689,vocab_v1_go_bp,289,GO:BP items (Table 1),deterministic,quotes-paper,F3,159,"""Table 1 (247 Pfam, 302 GO:MF, 289 GO:BP, 161 GO:CC, 3 pLDDT)"""
R1-690,vocab_v1_go_cc,161,GO:CC items (Table 1),deterministic,quotes-paper,F3,159,"""Table 1 (247 Pfam, 302 GO:MF, 289 GO:BP, 161 GO:CC, 3 pLDDT)"""
R1-691,vocab_v1_plddt,3,pLDDT items (Table 1),deterministic,quotes-paper,F3,159,"""Table 1 (247 Pfam, 302 GO:MF, 289 GO:BP, 161 GO:CC, 3 pLDDT)"""
R1-692,vocab_v35k_items,"34,920",features (35K vocabulary),deterministic,asserts-own,F3,159,"""What are the 34,920 features?"""
R1-693,kdist_v35k_k1_count,"34,920",frequent items at K=1 (35K logs),deterministic,asserts-own,F3,159,"""The logs show K=1: 34,920 frequent items, suggesting all 34,920 are above the min_count threshold."""
R1-694,misc_v35k_hypothetical_feature_support_range,"1,093-2,000",proteins per feature (hypothetical),deterministic,asserts-own,F3,162,"""If most new features appear in only 1,093-2,000 proteins, they contribute to K=2 pairs but not deep patterns."""
R1-695,vocab_items_frequent,"1,002",original features,deterministic,quotes-paper,F3,163,"""Does the 35K vocabulary include all 1,002 original features?"""
R1-696,meta_review_f3_severity_minor3,5/10,severity (m3),external-fact,asserts-own,F3,165,"""m3. Multi-GPU row-splitting introduces a new approximation [Severity: 5/10]"""
R1-697,run_v35k_n_gpus,4,GPUs (row-splitting),hardware-dependent,asserts-own,F3,167,"""The 35K results use 4-GPU row-splitting (wave3_base_partial.log line 18: local_min_count=27,307 for global min_count=109,225)"""
R1-698,run_v35k_wave3_local_min_count,"27,307",local_min_count (wave 3),method-parameter,asserts-own,F3,167,"""local_min_count=27,307 for global min_count=109,225"""
R1-699,run_v35k_wave3_min_count,"109,225",global min_count (wave 3),method-parameter,asserts-own,F3,167,"""local_min_count=27,307 for global min_count=109,225"""
R1-700,kdist_v35k_wave3_k2_locally_frequent,"14,800",locally frequent K=2 (union),deterministic,asserts-own,F3,167,"""(e.g., line 25: '14,800 locally frequent (union across GPUs), 8,554 frequent')"""
R1-701,kdist_v35k_wave3_k2_count,"8,554",globally frequent K=2,deterministic,asserts-own,F3,167,"""'14,800 locally frequent (union across GPUs), 8,554 frequent'"""
R1-702,run_v35k_wave3_k2_local_prune_pct,42%,candidates pruned by global recount,deterministic,asserts-own,F3,167,"""requiring a global recount that prunes 42% of candidates"""
R1-703,run_v35k_gpu_row_fraction,1/4,fraction of transactions per GPU,method-parameter,asserts-own,F3,169,"""each GPU sees 1/4 of the transactions and applies a reduced local threshold"""
